name,issns,active,withdrawn_date,withdrawal_reason
Transportation Research Part A: Policy and Practice,0965-8564;1879-2375,true,,
Journal of Biogeography,0305-0270;1365-2699,true,,
European Journal of Vascular and Endovascular Surgery,1078-5884;1532-2165,true,,
Journal of Philosophy of Education,0309-8249;1467-9752,true,,
Journal of Psychiatric Research,0022-3956;1879-1379,true,,
Journal of Population Economics,0933-1433;1432-1475,true,,
Surgical Endoscopy,0930-2794;1432-2218,true,,
Pediatrics,0031-4005;1098-4275,true,,
Science of the Total Environment,0048-9697;1879-1026,true,,
Hydrology and Earth System Sciences (HESS),1027-5606;1607-7938,true,,
Islam and Christian-Muslim Relations,0959-6410;1469-9311,true,,
Molecular Cell,1097-2765;1097-4164,true,,
Acta Sociologica,0001-6993;1502-3869,true,,
Biomaterials,0142-9612;1878-5905,true,,
Modern Pathology,0893-3952;1530-0285,true,,
Journal of Pathology,0022-3417;1096-9896,true,,
Tidsskrift for Rettsvitenskap,0040-7143;1504-3096,true,,
Cancer Nursing,0162-220X;1538-9804,true,,
Geophysical Research Letters,0094-8276;1944-8007,true,,
European Journal of Immunology,0014-2980;1521-4141,true,,
International Business Review,0969-5931;1873-6149,true,,
International Journal of Social Welfare,1369-6866;1468-2397,true,,
British Journal of Anaesthesia,0007-0912;1471-6771,true,,
Journal of Consulting and Clinical Psychology,0022-006X;1939-2117,true,,
Intensive Care Medicine,0342-4642;1432-1238,true,,
Maal og Minne,0024-855X;1890-5455,true,,
Development,0950-1991;1477-9129,true,,
Journal of Animal Ecology,0021-8790;1365-2656,true,,
European Respiratory Journal,0903-1936;1399-3003,true,,
Pharmacology and Therapeutics,0163-7258;1879-016X,true,,
Organizational Behavior and Human Decision Processes,0749-5978;1095-9920,true,,
Journal of Financial Economics,0304-405X;1879-2774,true,,
International Journal of Educational Development,0738-0593;1873-4871,true,,
"Journal of Neurology, Neurosurgery and Psychiatry",0022-3050;1468-330X,true,,
Toxicology and Applied Pharmacology,0041-008X;1096-0333,true,,
Earth and Planetary Science Letters,0012-821X;1385-013X,true,,
Zeitschrift für Literaturwissenschaft und Linguistik (LiLi),0049-8653;2365-953X,true,,
Archives of Oral Biology,0003-9969;1879-1506,true,,
Journal of Investigative Dermatology,0022-202X;1523-1747,true,,
Health Care for Women International,0739-9332;1096-4665,true,,
Journal of Marriage and Family,0022-2445;1741-3737,true,,
"Journal of Money, Credit and Banking",0022-2879;1538-4616,true,,
Journal of Internal Medicine,0954-6820;1365-2796,true,,
Ethnologia Scandinavica. A Journal for Nordic Ethnology,0348-9698,true,,
The American Naturalist,0003-0147;1537-5323,true,,
Theoretical and Applied Genetics,0040-5752;1432-2242,true,,
Human Development,0018-716X;1423-0054,true,,
Journal of Molecular and Cellular Cardiology,0022-2828;1095-8584,true,,
Preventive Medicine,0091-7435;1096-0260,true,,
Journal of International Business Studies,0047-2506;1478-6990,true,,
Psychological Medicine,0033-2917;1469-8978,true,,
Tourism Management,0261-5177;1879-3193,true,,
Security Dialogue,0967-0106;1460-3640,true,,
Journal of Asian Studies,0021-9118;1752-0401,true,,
Arv. Nordic Yearbook of Folklore,0066-8176;2002-4185,true,,
Cold Regions Science and Technology,0165-232X;1872-7441,true,,
Classical Philology,0009-837X;1546-072X,true,,
Endocrinology,0013-7227;1945-7170,true,,
Journal of Democracy,1045-5736;1086-3214,true,,
Studies in Language,0378-4177;1569-9978,true,,
Analytical Chemistry,0003-2700;1520-6882,true,,
Brain and Language,0093-934X;1090-2155,true,,
Journal of Experimental Biology,0022-0949;1477-9145,true,,
Journal of Cell Science,0021-9533;1477-9137,true,,
Sedimentology,0037-0746;1365-3091,true,,
European Journal of Clinical Pharmacology,0031-6970;1432-1041,true,,
Journal of Sports Sciences,0264-0414;1466-447X,true,,
Journal of Conflict Resolution,0022-0027;1552-8766,true,,
Journal of Infectious Diseases,0022-1899;1537-6613,true,,
American Ethnologist,0094-0496;1548-1425,true,,
Psychosomatic Medicine,0033-3174;1534-7796,false,2024-01-01,inactive in the register (Nedlagt år 2024; year only)
International Review for the Sociology of Sport,1012-6902;1461-7218,true,,
Cancer Letters,0304-3835;1872-7980,true,,
Environmental Modelling & Software,1364-8152;1873-6726,true,,
Community Dentistry and Oral Epidemiology,0301-5661;1600-0528,true,,
Clinical Orthopaedics and Related Research,0009-921X;1528-1132,true,,
Circulation,0009-7322;1524-4539,true,,
ICES Journal of Marine Science,1054-3139;1095-9289,true,,
Quality of Life Research,0962-9343;1573-2649,true,,
Journal of Neuroscience,0270-6474;1529-2401,true,,
Chest,0012-3692;1931-3543,true,,
Anesthesiology,0003-3022;1528-1175,true,,
International Journal of Law and Information Technology,0967-0769;1464-3693,true,,
BJOG: An International Journal of Obstetrics and Gynaecology,1470-0328;1471-0528,true,,
Public Administration,0033-3298;1467-9299,true,,
Journal of Physical Oceanography,0022-3670;1520-0485,true,,
Scandinavian Studies,0036-5637;2163-8195,true,,
Journal of the Philosophy of Sport,0094-8705;1543-2939,true,,
British Journal of Cancer,0007-0920;1532-1827,true,,
European Journal of Education,0141-8211;1465-3435,true,,
European Journal of Heart Failure,1388-9842;1879-0844,true,,
Global Biogeochemical Cycles,0886-6236;1944-9224,true,,
Journal of Aesthetics and Art Criticism,0021-8529;1540-6245,true,,
Demography,0070-3370;1533-7790,true,,
Brain,0006-8950;1460-2156,true,,
Journal of Medical Genetics,0022-2593;1468-6244,true,,
Endoscopy,0013-726X;1438-8812,true,,
Diabetologia,0012-186X;1432-0428,true,,
Critical Care Medicine,0090-3493;1530-0293,true,,
Proceedings of the National Academy of Sciences of the United States of America (PNAS),0027-8424;1091-6490,true,,
Reading and writing,0922-4777;1573-0905,true,,
Diabetes,0012-1797;1939-327X,true,,
Cancer Research,0008-5472;1538-7445,true,,
Advances in Applied Probability,0001-8678;1475-6064,true,,
New Media & Society,1461-4448;1461-7315,true,,
Taxon,0040-0262;1996-8175,true,,
Journal of Theoretical Politics,0951-6298;1460-3667,true,,
Journal of Clinical Periodontology,0303-6979;1600-051X,true,,
Journal of Clinical Investigation,0021-9738;1558-8238,true,,
Pain,0304-3959;1872-6623,true,,
Journal of Dental Research,0022-0345;1544-0591,true,,
Journal of Hepatology,0168-8278;1600-0641,true,,
Revue Romane,0035-3906;1600-0811,true,,
Human Reproduction,0268-1161;1460-2350,true,,
Organization Studies,0170-8406;1741-3044,true,,
Environmental Health Perspectives,0091-6765;1552-9924,true,,
"Palaeogeography, Palaeoclimatology, Palaeoecology",0031-0182;1872-616X,true,,
Neuron,0896-6273;1097-4199,true,,
Ecography,0906-7590;1600-0587,true,,
Environmental Toxicology and Chemistry,0730-7268;1552-8618,true,,
Journal of Chromatography A,0021-9673;1873-3778,true,,
Kant-Studien,0022-8877;1613-1134,true,,
Econometrica,0012-9682;1468-0262,true,,
Scandinavian Journal of History,0346-8755;1502-7716,true,,
Water Research,0043-1354;1879-2448,true,,
Bulletin of the World Health Organization,0042-9686;1564-0604,true,,
Journal of Epidemiology and Community Health,0143-005X;1470-2738,true,,
Retfærd: Nordic Journal of Law and Justice,0105-1121;3084-1836,true,,
"Cancer Epidemiology, Biomarkers and Prevention",1055-9965;1538-7755,true,,
Journal of Personality and Social Psychology,0022-3514;1939-1315,true,,
Journal of Pharmacology and Experimental Therapeutics,0022-3565;1521-0103,true,,
Journal of Child Psychology and Psychiatry,0021-9630;1469-7610,true,,
Journal of Urban Economics,0094-1190;1095-9068,true,,
The Economic Journal,0013-0133;1468-0297,true,,
Nucleic Acids Research (NAR),0305-1048;1362-4962,true,,
Neuropsychopharmacology,0893-133X;1740-634X,true,,
Numen,0029-5973;1568-5276,true,,
Journal of Health Economics,0167-6296;1879-1646,true,,
Politics & Society,0032-3292;1552-7514,true,,
Social Psychology of Education,1381-2890;1573-1928,true,,
Schizophrenia Research,0920-9964;1573-2509,true,,
Science,0036-8075;1095-9203,true,,
"Environment & Planning. D, Society and Space",0263-7758;1472-3433,true,,
Social Studies of Science,0306-3127;1460-3659,true,,
Theriogenology,0093-691X;1879-3231,true,,
"Journal of Law, Economics & Organization",8756-6222;1465-7341,true,,
The Plant Journal,0960-7412;1365-313X,true,,
American Journal of Psychiatry,0002-953X;1535-7228,true,,
Behavioral and Brain Sciences,0140-525X;1469-1825,true,,
American Journal of Gastroenterology,0002-9270;1572-0241,true,,
"Work, Employment and Society",0950-0170;1469-8722,true,,
Value in Health,1098-3015;1524-4733,true,,
Obstetrics and Gynecology,0029-7844;1873-233X,true,,
American Journal of Pathology,0002-9440;1525-2191,true,,
Journal of Curriculum Studies,0022-0272;1366-5839,true,,
Addiction,0965-2140;1360-0443,true,,
Nature Neuroscience,1097-6256;1546-1726,true,,
Journal of Clinical Epidemiology,0895-4356;1878-5921,true,,
Medical Care,0025-7079;1537-1948,true,,
British Journal of Aesthetics,0007-0904;1468-2842,true,,
Behavioral Ecology and Sociobiology,0340-5443;1432-0762,true,,
Molecular Pharmacology,0026-895X;1521-0111,true,,
European Sociological Review,0266-7215;1468-2672,true,,
Oecologia,0029-8549;1432-1939,true,,
Sustainable Development,0968-0802;1099-1719,true,,
Games and Economic Behavior,0899-8256;1090-2473,true,,
Archäologischer Anzeiger,0003-8105;2510-4713,true,,
International Journal of African Historical Studies,0361-7882;2326-3016,true,,
IEEE Transactions on Image Processing,1057-7149;1941-0042,true,,
Philosophical Studies,0031-8116;1573-0883,true,,
Journal of Folklore Research,0737-7037;1543-0413,true,,
Journal of Allergy and Clinical Immunology,0091-6749;1097-6825,true,,
IEEE Transactions on Pattern Analysis and Machine Intelligence,0162-8828;1939-3539,true,,
Popular Music,0261-1430;1474-0095,true,,
Progress in Human Geography,0309-1325;1477-0288,true,,
Annals of the Rheumatic Diseases,0003-4967;1468-2060,true,,
Archives of Sexual Behavior,0004-0002;1573-2800,true,,
American Political Science Review,0003-0554;1537-5943,true,,
Studia Theologica - Nordic Journal of Theology,0039-338X;1502-7791,true,,
The Linguistic Review,0167-6318;1613-3676,true,,
Animal Behaviour,0003-3472;1095-8282,true,,
Legislative Studies Quarterly,0362-9805;1939-9162,true,,
Journal of Marine Science and Technology,0948-4280;1437-8213,true,,
Africa - Journal of the International African Institute,0001-9720;1750-0184,true,,
Journal of European Social Policy,0958-9287;1461-7269,true,,
International Journal of Obesity,0307-0565;1476-5497,true,,
Neurology,0028-3878;1526-632X,true,,
Nature Cell Biology,1465-7392;1476-4679,true,,
International Journal of the Sociology of Language,0165-2516;1613-3668,true,,
Leukemia,0887-6924;1476-5551,true,,
Labour Economics,0927-5371;1879-1034,true,,
Journal of Retailing,0022-4359;1873-3271,true,,
Nordic Journal of Human Rights,1891-8131;1891-814X,true,,
Nature Biotechnology,1087-0156;1546-1696,true,,
British Journal of Ophthalmology,0007-1161;1468-2079,true,,
New Phytologist,0028-646X;1469-8137,true,,
Business History,0007-6791;1743-7938,true,,
Journal of Bone and Mineral Research,0884-0431;1523-4681,true,,
Oikos,0030-1299;1600-0706,true,,
Environmental Science and Technology,0013-936X;1520-5851,true,,
Clinical Cancer Research,1078-0432;1557-3265,true,,
Ultrasound in Medicine and Biology,0301-5629;1879-291X,true,,
Novum Testamentum,0048-1009;1568-5365,true,,
The Musical Quarterly,0027-4631;1741-8399,true,,
International Journal of Educational Research,0883-0355;1873-538X,true,,
International Journal of Eating Disorders,0276-3478;1098-108X,true,,
Agricultural Systems,0308-521X;1873-2267,true,,
European Child and Adolescent Psychiatry,1018-8827;1435-165X,true,,
Intelligence,0160-2896;1873-7935,true,,
Gut,0017-5749;1468-3288,true,,
World Development,0305-750X;1873-5991,true,,
Scandinavian Journal of the Old Testament,0901-8328;1502-7244,true,,
International Economic Review,0020-6598;1468-2354,true,,
Journal of Development Studies,0022-0388;1743-9140,true,,
International Affairs,0020-5850;1468-2346,true,,
Marine Geology,0025-3227;1872-6151,true,,
Marine Ecology Progress Series,0171-8630;1616-1599,true,,
Annals of Neurology,0364-5134;1531-8249,true,,
International Organization,0020-8183;1531-5088,true,,
European Journal of Political Research,0304-4130;1475-6765,true,,
Journal of Neuropathology and Experimental Neurology,0022-3069;1554-6578,true,,
Journal of Hydraulic Engineering,0733-9429;1943-7900,true,,
"Leonardo: Journal of the International Society for the Arts, Sciences and Technology",0024-094X;1530-9282,true,,
Management Accounting Research,1044-5005;1096-1224,true,,
European Economic Review,0014-2921;1873-572X,true,,
Health Policy,0168-8510;1872-6054,true,,
Health Policy and Planning,0268-1080;1460-2237,true,,
Endocrine-Related Cancer,1351-0088;1479-6821,true,,
Soil Science Society of America Journal,0361-5995;1435-0661,true,,
The Laryngoscope,0023-852X;1531-4995,true,,
IEEE Transactions on Geoscience and Remote Sensing,0196-2892;1558-0644,true,,
Investigative Radiology,0020-9996;1536-0210,true,,
European Journal of Communication,0267-3231;1460-3705,true,,
Global Change Biology,1354-1013;1365-2486,true,,
Western Folklore,0043-373X;2325-811X,true,,
Journal of Pediatrics,0022-3476,true,,
British Journal of Religious Education,0141-6200;1740-7931,true,,
Human Brain Mapping,1065-9471;1097-0193,true,,
Ultrasound in Obstetrics and Gynecology,0960-7692;1469-0705,true,,
Pediatric Radiology,0301-0449;1432-1998,true,,
Party Politics,1354-0688;1460-3683,true,,
New Political Economy,1356-3467;1469-9923,true,,
European Journal of International Relations,1354-0661;1460-3713,true,,
European Journal of Social Psychology,0046-2772;1099-0992,true,,
Freshwater Biology,0046-5070;1365-2427,true,,
Political Geography,0962-6298;1873-5096,true,,
Journal of the American Medical Association (JAMA),0098-7484;1538-3598,true,,
International Journal of Epidemiology,0300-5771;1464-3685,true,,
Political Behavior,0190-9320;1573-6687,true,,
Inquiry (Oslo),0020-174X;1502-3923,true,,
Journal of Advanced Nursing,0309-2402;1365-2648,true,,
Linguistics,0024-3949;1613-396X,true,,
Antimicrobial Agents and Chemotherapy,0066-4804;1098-6596,true,,
Human Relations,0018-7267;1741-282X,true,,
Arkiv för nordisk filologi,0066-7668,true,,
Journal of Indo-European Studies,0092-2323,true,,
British Journal of Sports Medicine,0306-3674;1473-0480,true,,
American Journal of Human Genetics,0002-9297;1537-6605,true,,
International Journal of Middle East Studies,0020-7438;1471-6380,true,,
Synthese,0039-7857;1573-0964,true,,
Radiology,0033-8419;1527-1315,true,,
International History Review,0707-5332;1949-6540,true,,
International Journal of Cancer,0020-7136;1097-0215,true,,
FEMS Microbiology Ecology,0168-6496;1574-6941,true,,
Landscape and Urban Planning,0169-2046;1872-6062,true,,
Gastroenterology,0016-5085;1528-0012,true,,
Oncogene,0950-9232;1476-5594,true,,
Beiträge zur Geschichte der Deutschen Sprache und Literatur,0005-8076;1865-9373,true,,
Journal of Pragmatics,0378-2166;1879-1387,true,,
Comparative Education,0305-0068;1360-0486,true,,
RAND Journal of Economics,0741-6261;1756-2171,true,,
Journal of the National Cancer Institute,0027-8874;1460-2105,true,,
Journal of International Economics,0022-1996;1873-0353,true,,
Aquatic Toxicology,0166-445X;1879-1514,true,,
Behaviour Research and Therapy,0005-7967;1873-622X,true,,
American Journal of Epidemiology,0002-9262;1476-6256,true,,
Human Mutation,1059-7794;1098-1004,true,,
RNA: A publication of the RNA Society,1355-8382;1469-9001,true,,
Journal of the Atmospheric Sciences,0022-4928;1520-0469,true,,
British Journal of Dermatology,0007-0963;1365-2133,true,,
American Journal of Medicine,0002-9343;1555-7162,true,,
Quarterly Journal of Economics,0033-5533;1531-4650,true,,
Journal of the Acoustical Society of America,0001-4966;1520-8524,true,,
Bioinformatics,1367-4803;1367-4811,true,,
Journal of Clinical Nursing (JCN),0962-1067;1365-2702,true,,
Historical Linguistics,0935-3518;2196-8071,true,,
Glia,0894-1491;1098-1136,true,,
Journal of Virology,0022-538X;1098-5514,true,,
Journal of Management Studies,0022-2380;1467-6486,true,,
Economics of Education Review,0272-7757;1873-7382,true,,
Journal of Vascular Surgery,0741-5214;1097-6809,true,,
Edda. Nordisk tidsskrift for litteraturforskning,0013-0818;1500-1989,true,,
Social Science and Medicine,0277-9536;1873-5347,true,,
International Studies Quarterly,0020-8833;1468-2478,true,,
Journal of Fluid Mechanics,0022-1120;1469-7645,true,,
Alimentary Pharmacology and Therapeutics,0269-2813;1365-2036,true,,
Deutsch als Fremdsprache,0011-9741,true,,
Annals of Surgery,0003-4932;1528-1140,true,,
Stroke,0039-2499;1524-4628,true,,
The European Journal of Women's Studies,1350-5068;1461-7420,true,,
British Journal of Political Science,0007-1234;1469-2112,true,,
Clinical Pharmacology and Therapeutics,0009-9236;1532-6535,true,,
Journal of Clinical Microbiology,0095-1137;1098-660X,true,,
Anthropological Quarterly,0003-5491;1534-1518,true,,
Biological Psychiatry,0006-3223;1873-2402,true,,
Hypertension,0194-911X;1524-4563,true,,
Cancer,0008-543X;1097-0142,true,,
Sleep,0161-8105;1550-9109,true,,
Sociologia Ruralis,0038-0199;1467-9523,true,,
Population Studies,0032-4728;1477-4747,true,,
The Scandinavian Journal of Economics,0347-0520;1467-9442,true,,
"The Journal of Arts Management, Law, and Society",1063-2921;1930-7799,true,,
Journal for the Study of the New Testament,0142-064X;1745-5294,true,,
Review of International Studies,0260-2105;1469-9044,true,,
Electoral Studies: an international journal on voting and electoral systems and strategy,0261-3794;1873-6890,true,,
Electrochimica Acta,0013-4686;1873-3859,true,,
Journal of the Academy of Marketing Science,0092-0703;1552-7824,true,,
Economica,0013-0427;1468-0335,true,,
Schizophrenia Bulletin,0586-7614;1745-1701,true,,
New England Journal of Medicine,0028-4793;1533-4406,true,,
British Journal of Nutrition,0007-1145;1475-2662,true,,
Current Biology,0960-9822;1879-0445,true,,
Investigative Ophthalmology and Visual Science,0146-0404;1552-5783,true,,
"Journal of the Royal Statistical Society, Series C (Applied Statistics)",0035-9254;1467-9876,true,,
Forest Ecology and Management,0378-1127;1872-7042,true,,
Thorax,0040-6376;1468-3296,true,,
Journal of Social Policy,0047-2794;1469-7823,true,,
Journal of Common Market Studies,0021-9886;1468-5965,true,,
Statistics in Medicine,0277-6715;1097-0258,true,,
"Work & Stress - An International Journal of Work, Health & Organisations",0267-8373;1464-5335,true,,
Journal of Educational Psychology,0022-0663;1939-2176,true,,
Scandinavian Economic History Review,0358-5522;1750-2837,true,,
Psychophysiology,0048-5772;1469-8986,true,,
Antioxidants and Redox Signaling,1523-0864;1557-7716,true,,
Social Analysis: The International Journal of Anthropology,0155-977X;1558-5727,true,,
Allergy. European Journal of Allergy and Clinical Immunology,0105-4538;1398-9995,true,,
Molecular and Cellular Biology,0270-7306;1098-5549,true,,
Diplomatic History,0145-2096;1467-7709,true,,
Kidney International,0085-2538;1523-1755,true,,
School Effectiveness and School Improvement,0924-3453;1744-5124,true,,
Social Anthropology,0964-0282;1469-8676,true,,
Quarterly Journal of the Royal Meteorological Society,0035-9009;1477-870X,true,,
British Journal of Criminology,0007-0955;1464-3529,true,,
European Journal of Neurology,1351-5101;1468-1331,true,,
Journal of Biblical Literature,0021-9231;1934-3876,true,,
Neuropsychologia,0028-3932;1873-3514,true,,
Journal of Physiology,0022-3751;1469-7793,true,,
Diversity and Distributions: A Journal of Conservation Biogeography,1366-9516;1472-4642,true,,
American Journal of Clinical Nutrition,0002-9165;1938-3207,true,,
Behavioral Ecology,1045-2249;1465-7279,true,,
